agency,business_title,posting_salary_range_from,posting_salary_range_to,posting_date,posting_until,posting_duration,actual_base_salary,actual_pay_basis,actual_regular_gross_paid,actual_total_ot_paid,actual_total_other_pay,actual_total_income_paid,match_ratio
DEPT OF ENVIRONMENT PROTECTION,Assistant Process Engineer,59747,72352,2025-08-05T00:00:00.000000,2025-09-04T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
FINANCIAL INFO SVCS AGENCY,Disaster Recovery Analyst,48838,64000,2025-05-14T00:00:00.000000,2025-06-13T00:00:00.000000,30,104604.00,per Annum,2513.48,0.00,230.14,2743.62,85.24590163934427
DEPT OF YOUTH & COMM DEV SRVS,Borough Manager - Office of Neighborhood Safety,83457,120000,2025-06-16T00:00:00.000000,2025-07-16T00:00:00.000000,30,60039.00,per Annum,57954.21,0.00,5564.95,63519.159999999996,85.29411764705883
BRONX DISTRICT ATTORNEY,Specialized Trial Preparation Assistant,68035,68035,2025-03-25T00:00:00.000000,2025-04-24T00:00:00.000000,30,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Policy Coordinator, Bureau of Public Health Clinics",87743,100904,2025-07-17T00:00:00.000000,2026-07-12T00:00:00.000000,360,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,ASSISTANT PROJECT MANAGER,57866,70075,2024-12-23T00:00:00.000000,2025-01-22T00:00:00.000000,30,81265.00,per Annum,76553.55,0.00,976.96,77530.51000000001,100.0
DEPT OF PARKS & RECREATION,Project Development Coordinator for Citywide Services,62868,97593,2025-07-25T00:00:00.000000,2025-08-15T00:00:00.000000,21,65.29,per Hour,109701.07,1913.26,13055.24,124669.57,89.65517241379311
BRONX DISTRICT ATTORNEY,Reporter / Stenographer,94534,94534,2025-05-15T00:00:00.000000,2025-11-13T00:00:00.000000,182,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Supervising Physician, Bureau of School Health",79.23,79.23,2024-10-29T00:00:00.000000,2025-10-29T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPARTMENT OF TRANSPORTATION,Traffic Device Maintainer - TCE,57758,75459,2025-05-16T00:00:00.000000,2025-06-15T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
HRA/DEPT OF SOCIAL SERVICES,FRONT DOOR RECEPTIONIST,39763,45728,2024-01-19T00:00:00.000000,2024-02-18T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPT OF HEALTH/MENTAL HYGIENE,"Early Intervention Official Designee, Bureau of Early Intervention",63732,63732,2025-05-28T00:00:00.000000,2026-05-28T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,AIR POLLUTION INSPECTOR,39338,49864,2024-09-10T00:00:00.000000,2024-10-10T00:00:00.000000,30,60485.00,per Annum,49422.73,2929.04,895.38,53247.15,100.0
NYC HOUSING AUTHORITY,Payment Certifier,60000,65000,2025-02-14T00:00:00.000000,2025-03-16T00:00:00.000000,30,522.32,per Day,150800.86,17734.87,5089.28,173625.00999999998,87.5
DEPT OF ENVIRONMENT PROTECTION,Manhattan/Bronx Inspector Supervisor (Engineering Technician IV),61267,70457,2024-06-18T00:00:00.000000,2024-07-18T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,WATERSHED MAINTAINER,46183,53111,2024-12-31T00:00:00.000000,2025-01-30T00:00:00.000000,30,46183.00,per Annum,26584.21,2335.29,241.58,29161.08,100.0
DEPT OF ENVIRONMENT PROTECTION,ASSISTANT PROJECT MANAGER,57866,70075,2025-03-18T00:00:00.000000,2025-04-17T00:00:00.000000,30,81265.00,per Annum,76553.55,0.00,976.96,77530.51000000001,100.0
HRA/DEPT OF SOCIAL SERVICES,SENIOR CRPU SPECIALIST,70646,95000,2025-06-27T00:00:00.000000,2025-07-27T00:00:00.000000,30,48246.00,per Annum,49638.15,0.00,3279.90,52918.05,91.56626506024097
HRA/DEPT OF SOCIAL SERVICES,SENIOR MICROSOFT POWER BI DEVELOPER,108071,124282,2024-01-04T00:00:00.000000,2024-02-03T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
NYC HOUSING AUTHORITY,Assistant Resident Buildings Superintendent,54272,83117,2025-08-05T00:00:00.000000,2025-08-25T00:00:00.000000,20,522.32,per Day,150800.86,17734.87,5089.28,173625.00999999998,87.5
DEPT OF HEALTH/MENTAL HYGIENE,"Senior Copyeditor, Bureau of Communications",66067,86000,2025-05-07T00:00:00.000000,2026-05-07T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPARTMENT OF TRANSPORTATION,Traffic Analyst - OLS,73878,96395,2024-08-22T00:00:00.000000,2024-09-21T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
NYC HOUSING AUTHORITY,Data Scientist,75000,103670,2024-12-09T00:00:00.000000,2025-01-08T00:00:00.000000,30,522.32,per Day,150800.86,17734.87,5089.28,173625.00999999998,87.5
DEPT OF HEALTH/MENTAL HYGIENE,"Director, Bureau of Food Safety and Community Sanitation",85623,98467,2025-06-17T00:00:00.000000,2026-06-17T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HOUSING PRESERVATION & DVLPMNT,Executive Agency Attorney,120000,130000,2025-07-23T00:00:00.000000,2025-08-22T00:00:00.000000,30,69328.00,per Annum,37161.49,0.00,1232.47,38393.96,85.71428571428571
TAXI & LIMOUSINE COMMISSION,Legal Affairs Attorney Interne,72510,83388,2025-05-27T00:00:00.000000,2025-06-26T00:00:00.000000,30,25.78,per Hour,39514.28,37.54,1850.72,41402.54,87.09677419354838
DEPT OF ENVIRONMENT PROTECTION,ASSISTANT PROJECT MANAGER,64242,96395,2025-05-29T00:00:00.000000,2025-06-28T00:00:00.000000,30,81265.00,per Annum,76553.55,0.00,976.96,77530.51000000001,100.0
DEPARTMENT OF TRANSPORTATION,"Project Coordinator- Safety Project Evaluation, RIS",75777,111552,2025-06-11T00:00:00.000000,2025-07-11T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF ENVIRONMENT PROTECTION,STANDARDS LEAD,95070,124935,2025-01-15T00:00:00.000000,2025-02-14T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPARTMENT FOR THE AGING,Program Officer,63980,73577,2025-07-31T00:00:00.000000,2026-01-27T00:00:00.000000,180,202221.00,per Annum,206686.37,0.00,3000.00,209686.37,85.71428571428571
BRONX DISTRICT ATTORNEY,Assistant District Attorney -  Bureau Chief,207500,220500,2025-03-14T00:00:00.000000,2025-09-10T00:00:00.000000,180,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Supervising Public Health Nurse, Bureau of School Health",97908,97908,2025-07-23T00:00:00.000000,2026-07-23T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
BRONX DISTRICT ATTORNEY,Trial Preparation Assistant Level II - Youth Justice Bureau,53045,53045,2025-04-22T00:00:00.000000,2025-10-21T00:00:00.000000,182,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
NYC HOUSING AUTHORITY,Resident Buildings Superintendent,65750,102312,2025-08-06T00:00:00.000000,2025-08-26T00:00:00.000000,20,522.32,per Day,150800.86,17734.87,5089.28,173625.00999999998,87.5
DEPARTMENT OF CORRECTION,Assistant General Counsel,73476,84498,2025-06-06T00:00:00.000000,2025-09-04T00:00:00.000000,90,68909.00,per Annum,23822.69,0.00,0.00,23822.69,90.56603773584905
OFF OF PAYROLL ADMINISTRATION,Help Desk Level 1 Representative,36917,55082,2025-02-05T00:00:00.000000,2025-03-07T00:00:00.000000,30,64764.00,per Annum,66806.30,2097.29,3508.04,72411.62999999999,85.29411764705883
BRONX DISTRICT ATTORNEY,Digital Forensic Lab Analyst (DFL Analyst),65000,65000,2025-03-25T00:00:00.000000,2025-04-24T00:00:00.000000,30,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPT OF ENVIRONMENT PROTECTION,STANDARDS LEAD,60443,164461,2025-02-04T00:00:00.000000,2025-03-06T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPARTMENT OF TRANSPORTATION,Deputy Director Resource Management,77158,114887,2024-08-23T00:00:00.000000,2024-09-22T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF ENVIRONMENT PROTECTION,Review Engineer,101230,101230,2023-11-27T00:00:00.000000,2023-12-27T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
ADMIN FOR CHILDREN'S SVCS,Director of Training,92301,121296,2025-07-15T00:00:00.000000,2025-08-14T00:00:00.000000,30,38565.00,per Annum,38459.45,9705.94,1892.03,50057.42,90.9090909090909
DEPARTMENT OF CORRECTION,Technical Project Manager,130000,150000,2025-07-03T00:00:00.000000,2025-10-01T00:00:00.000000,90,68909.00,per Annum,23822.69,0.00,0.00,23822.69,90.56603773584905
DEPT OF ENVIRONMENT PROTECTION,Senior Inspector,57040,80317,2024-01-22T00:00:00.000000,2024-02-21T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF PARKS & RECREATION,Project Development Coordinator for Fleet & Signs Administration,62868,97593,2025-07-25T00:00:00.000000,2025-08-15T00:00:00.000000,21,65.29,per Hour,109701.07,1913.26,13055.24,124669.57,89.65517241379311
DEPT OF ENVIRONMENT PROTECTION,ASSOC. CHEMIST,45193,77500,2023-04-23T00:00:00.000000,2023-05-23T00:00:00.000000,30,92235.00,per Annum,89022.57,6322.28,8548.07,103892.92000000001,94.6236559139785
HRA/DEPT OF SOCIAL SERVICES,FAIR HEARING SERVICE SPECIALIST,56677,65179,2024-05-03T00:00:00.000000,2024-06-02T00:00:00.000000,30,48246.00,per Annum,49638.15,0.00,3279.90,52918.05,91.56626506024097
DEPT OF ENVIRONMENT PROTECTION,PORTFOLIO MANAGER,94050,242675,2025-07-21T00:00:00.000000,2025-08-20T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HRA/DEPT OF SOCIAL SERVICES,SPECIAL ASSISTANT TO THE CHIEF OF HOMELESS PREVENT...,94715,125000,2023-06-22T00:00:00.000000,2023-07-22T00:00:00.000000,30,228321.00,per Annum,237091.24,0.00,4250.00,241341.24,91.66666666666667
OFFICE OF THE MAYOR,Policy Advisor,85000,92000,2025-05-13T00:00:00.000000,2025-06-12T00:00:00.000000,30,258750.00,per Annum,257361.22,0.00,0.00,257361.22,100.0
DEPARTMENT OF TRANSPORTATION,Safety Specialist,87743,110120,2025-06-21T00:00:00.000000,2025-08-21T00:00:00.000000,61,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
HRA/DEPT OF SOCIAL SERVICES,HOUSING SPECIALIST,59715,68672,2025-04-28T00:00:00.000000,2025-05-28T00:00:00.000000,30,104125.00,per Annum,23201.46,0.00,16.50,23217.96,100.0
NYC HOUSING AUTHORITY,RESIDENT BUILDING SUPERINTENDENT (HA),65750,102312,2025-08-05T00:00:00.000000,2025-08-25T00:00:00.000000,20,95802.00,per Annum,95311.50,195.20,4373.39,99880.09,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Director, Building Water Systems Oversight, Bureau of Environmental Sciences and Engineering",108918,130000,2025-02-03T00:00:00.000000,2026-02-03T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
FINANCIAL INFO SVCS AGENCY,Mainframe Systems Manager,75000,180000,2025-07-21T00:00:00.000000,2025-08-20T00:00:00.000000,30,104604.00,per Annum,2513.48,0.00,230.14,2743.62,85.24590163934427
DEPT OF HEALTH/MENTAL HYGIENE,Evidence and Property Control Specialist II,66460,75100,2025-07-21T00:00:00.000000,2025-08-20T00:00:00.000000,30,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Grants Development and Compliance Analyst, Bureau of Budget Administration",84981,84981,2025-02-10T00:00:00.000000,2026-02-10T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
BUSINESS INTEGRITY COMMISSION,Intelligence Analyst,50000,50000,2025-07-25T00:00:00.000000,2025-09-23T00:00:00.000000,60,277605.00,per Annum,283118.29,0.00,3000.00,286118.29,90.625
DISTRICT ATTORNEY-MANHATTAN,Financial Intelligence Analyst,72685,77112,2025-07-01T00:00:00.000000,2025-07-31T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
DEPT OF ENVIRONMENT PROTECTION,Deputy Chief - Outside Projects,70940,150080,2024-04-15T00:00:00.000000,2024-05-15T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,Catch Basin Inspector,44679,51381,2023-05-26T00:00:00.000000,2023-06-25T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,Deputy Chief - Outside Projects,70940,150080,2024-04-15T00:00:00.000000,2024-05-15T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HRA/DEPT OF SOCIAL SERVICES,PRINCIPAL PAYMENT ANALYST/INVOICE REPORTS COORDINATOR,64137,73758,2024-05-02T00:00:00.000000,2024-06-01T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPT OF HEALTH/MENTAL HYGIENE,"Child Care Inspector, Bureau of Childcare",53132,53132,2025-07-11T00:00:00.000000,2026-01-07T00:00:00.000000,180,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
NYC HOUSING AUTHORITY,Project Manager,120000,133000,2025-05-19T00:00:00.000000,2025-06-18T00:00:00.000000,30,522.32,per Day,150800.86,17734.87,5089.28,173625.00999999998,87.5
DEPT OF HEALTH/MENTAL HYGIENE,"Stationary Engineer, Bureau of Operations",572.56,572.56,2024-12-04T00:00:00.000000,2025-12-04T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,SYSTEM DATA ASSOCIATE,71707,82463,2023-10-10T00:00:00.000000,2023-11-09T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPT OF ENVIRONMENT PROTECTION,Project Manager Intern,56313,64760,2024-08-14T00:00:00.000000,2024-09-13T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPARTMENT OF PROBATION,ATP Assessor,62868,97593,2025-08-07T00:00:00.000000,2025-08-22T00:00:00.000000,15,55493.00,per Annum,55195.08,20561.26,2199.10,77955.44,85.18518518518519
DEPT OF HEALTH/MENTAL HYGIENE,"Supervising Public Health Nurse, Bureau of School Health",94826,94826,2025-03-10T00:00:00.000000,2026-03-10T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,ASSISTANT PROJECT MANAGER,57866,70075,2025-03-18T00:00:00.000000,2025-04-17T00:00:00.000000,30,81265.00,per Annum,76553.55,0.00,976.96,77530.51000000001,100.0
DEPT OF ENVIRONMENT PROTECTION,Borough Manager,106602,153362,2025-05-29T00:00:00.000000,2025-06-28T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HOUSING PRESERVATION & DVLPMNT,Associate Commissioner â New Construction,175000,175000,2025-07-17T00:00:00.000000,2025-08-16T00:00:00.000000,30,69328.00,per Annum,37161.49,0.00,1232.47,38393.96,85.71428571428571
BRONX DISTRICT ATTORNEY,"Domestic Violence Bureau - Trial Preparation Assistant, Level III - Supervising TPA",72572,72572,2025-07-25T00:00:00.000000,2025-08-24T00:00:00.000000,30,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPARTMENT OF TRANSPORTATION,Traffic Control Inspector,50884,71897,2024-08-21T00:00:00.000000,2024-09-20T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF ENVIRONMENT PROTECTION,ACCOUNTABLE MANAGER,60443,164461,2025-03-28T00:00:00.000000,2025-04-27T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPARTMENT OF TRANSPORTATION,Data Scientist,70087,84805,2023-09-21T00:00:00.000000,2023-10-21T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
BRONX DISTRICT ATTORNEY,Supervising Assistant District Attorney,147000,178000,2025-06-26T00:00:00.000000,2025-12-23T00:00:00.000000,180,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Nurse Part-Time), Bureau of School Health",47.29,47.29,2025-05-08T00:00:00.000000,2026-05-08T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,"Director, Project Delivery",80931,208826,2023-01-09T00:00:00.000000,2023-02-08T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HRA/DEPT OF SOCIAL SERVICES,CASE MANAGEMENT TEAM LEADER,70646,81243,2025-06-25T00:00:00.000000,2025-07-25T00:00:00.000000,30,72499.00,per Annum,66926.09,0.00,4134.08,71060.17,90.47619047619048
NYC HOUSING AUTHORITY,EMSD Secretary,42288,68509,2025-07-25T00:00:00.000000,2025-08-14T00:00:00.000000,20,522.32,per Day,150800.86,17734.87,5089.28,173625.00999999998,87.5
ADMIN FOR CHILDREN'S SVCS,Child Protective Specialist,58984,58984,2025-07-03T00:00:00.000000,2025-09-01T00:00:00.000000,60,38565.00,per Annum,38459.45,9705.94,1892.03,50057.42,90.9090909090909
HRA/DEPT OF SOCIAL SERVICES,CONFERENCE OFFICER,59715,68672,2025-06-27T00:00:00.000000,2025-07-27T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPT OF ENVIRONMENT PROTECTION,Carbon Analyst,84981,97728,2025-05-02T00:00:00.000000,2025-06-01T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,Project Manager,75504,94761,2023-01-09T00:00:00.000000,2023-02-08T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HRA/DEPT OF SOCIAL SERVICES,CHECK REPLACEMENT ASSOCIATE,66062,75971,2025-04-15T00:00:00.000000,2025-05-15T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
BRONX DISTRICT ATTORNEY,Forensic Investigative Genealogist,70000,70000,2025-07-30T00:00:00.000000,2025-08-29T00:00:00.000000,30,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Director of Administration, Bureau of Early Intervention",106602,106602,2025-01-24T00:00:00.000000,2026-01-24T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
OFFICE OF THE MAYOR,Deputy Press Secretary,90000,120000,2025-05-12T00:00:00.000000,2025-06-11T00:00:00.000000,30,258750.00,per Annum,257361.22,0.00,0.00,257361.22,100.0
FINANCIAL INFO SVCS AGENCY,Mainframe Security/Tools Specialist,100000,111000,2025-03-05T00:00:00.000000,2025-04-04T00:00:00.000000,30,104604.00,per Annum,2513.48,0.00,230.14,2743.62,85.24590163934427
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Advisor, Bureau of School Health",24.1,27.71,2025-05-28T00:00:00.000000,2026-05-28T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPARTMENT OF TRANSPORTATION,Planner,71255,104894,2024-04-03T00:00:00.000000,2024-05-03T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
ADMIN TRIALS AND HEARINGS,Cashier,45040,51796,2025-01-23T00:00:00.000000,2025-02-22T00:00:00.000000,30,61.52,per Hour,90413.81,0.00,43118.40,133532.21,86.20689655172414
DEPT OF ENVIRONMENT PROTECTION,ACCOUNTABLE MANAGER,84018,123141,2025-03-13T00:00:00.000000,2025-04-12T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Nurse Home Visitor, Bureau of Maternal Infant and Reproductive Health",97012,97012,2023-08-29T00:00:00.000000,2023-09-28T00:00:00.000000,30,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,FH REPRESENTATIVE,68423,78686,2024-11-07T00:00:00.000000,2024-12-07T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPT OF ENVIRONMENT PROTECTION,ACCOUNTABLE MANAGER,80557,111917,2022-11-25T00:00:00.000000,2022-12-25T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,Design-Build Program Manager,72038,192152,2022-12-05T00:00:00.000000,2023-01-04T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Press Secretary, Bureau of Communications",81083,150000,2024-12-04T00:00:00.000000,2025-12-04T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
NYC HOUSING AUTHORITY,CARETAKER X (HA),36006,50569,2025-07-30T00:00:00.000000,2025-08-19T00:00:00.000000,20,36006.00,per Annum,32868.40,16692.07,5778.47,55338.94,100.0
DEPARTMENT OF SANITATION,"Laboratory Associate, L1",49658,56524,2024-10-31T00:00:00.000000,2024-11-30T00:00:00.000000,30,522.32,per Day,150800.86,287.01,8680.53,159768.4,88.88888888888889
DEPARTMENT OF TRANSPORTATION,Assistant Architect (Per Diem),35.1626,52.7614,2024-12-19T00:00:00.000000,2025-01-18T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF ENVIRONMENT PROTECTION,DEPUTY PORTFOLIO MANAGER,78721,209971,2024-04-29T00:00:00.000000,2024-05-29T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPARTMENT OF TRANSPORTATION,BOB- Director of Construction,60443,164461,2024-11-22T00:00:00.000000,2024-12-22T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF HEALTH/MENTAL HYGIENE,"Exterminator, Bureau of Veterinary and Pest Control Services",46638,46638,2025-05-20T00:00:00.000000,2025-10-17T00:00:00.000000,150,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,RAP UNIT SUPERVISOR,58377,92389,2024-08-07T00:00:00.000000,2024-09-06T00:00:00.000000,30,68464.00,per Annum,2412.27,416.45,113.06,2941.7799999999997,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Senior Policy Advisor, Bureau of Equitable Health Systems",106117,125256,2024-09-19T00:00:00.000000,2025-09-19T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Advisor, Bureau of Tuberculosis Control",53074,61035,2025-05-28T00:00:00.000000,2026-05-28T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HOUSING PRESERVATION & DVLPMNT,HLD Agency Attorney L2,95450,95450,2025-08-09T00:00:00.000000,2025-08-29T00:00:00.000000,20,69328.00,per Annum,37161.49,0.00,1232.47,38393.96,85.71428571428571
DEPT OF ENVIRONMENT PROTECTION,Civil Engineering Intern,51413,59125,2022-09-10T00:00:00.000000,2022-10-10T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Advisor, Bureau of School Health",24.1,27.71,2025-02-05T00:00:00.000000,2026-02-05T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
OFFICE OF CRIMINAL JUSTICE,"Supervising Attorney, First Department",72038,175000,2024-01-25T00:00:00.000000,2024-02-24T00:00:00.000000,30,260042.00,per Annum,213062.77,0.00,3000.00,216062.77,85.24590163934427
DEPT OF ENVIRONMENT PROTECTION,Civil Engineering Intern,51413,59125,2022-09-10T00:00:00.000000,2022-10-10T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,"Deputy Director, Integrated Water Management",84981,106654,2025-02-20T00:00:00.000000,2025-03-22T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Case Manager, Bureau of Tuberculosis Control",53074,61035,2025-03-20T00:00:00.000000,2026-03-20T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
NYC HOUSING AUTHORITY,ASBESTOS HANDLER,82844,93614,2025-08-11T00:00:00.000000,2025-08-14T00:00:00.000000,3,95536.00,per Annum,98640.25,32673.90,5093.60,136407.75,100.0
DEPT OF ENVIRONMENT PROTECTION,DEPUTY PORTFOLIO MANAGER,83718,223299,2025-07-21T00:00:00.000000,2025-08-20T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Program Specialist, Treatment, Rehab and Care Coordination",82950,95392,2025-06-13T00:00:00.000000,2026-06-13T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,ACCOUNTABLE MANAGER,88026,122295,2024-04-30T00:00:00.000000,2024-05-30T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
ADMIN FOR CHILDREN'S SVCS,Investigative Consultant II,66822,100434,2024-03-15T00:00:00.000000,2024-04-14T00:00:00.000000,30,38565.00,per Annum,38459.45,9705.94,1892.03,50057.42,90.9090909090909
DEPARTMENT OF SANITATION,Director of Outreach,91090,235036,2024-08-06T00:00:00.000000,2024-09-05T00:00:00.000000,30,522.32,per Day,150800.86,287.01,8680.53,159768.4,88.88888888888889
OFF OF PAYROLL ADMINISTRATION,Payroll Funding Associate,45040,65000,2025-01-28T00:00:00.000000,2025-02-27T00:00:00.000000,30,64764.00,per Annum,66806.30,2097.29,3508.04,72411.62999999999,85.29411764705883
DEPT OF ENVIRONMENT PROTECTION,Assistant Mechanical Engineer,65640,65640,2022-12-20T00:00:00.000000,2023-01-19T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
